Internal ID,Name,Display Name,Description,Product Group,Product Type,Class,Sub Category,Sub Category,Collection,Brand Name,Collection Name
118460,GH253293,Gracious Sleep Heritage Box Spring - QUEEN,Gracious Sleep Heritage Box Spring - QUEEN,Mattresses,,Active,Gracious Sleep,Gracious Sleep,,Thos Baker,
118461,GH253294,"Gracious Sleep Heritage 12"" Plush Mattress - KING","Gracious Sleep Heritage 12"" Plush Mattress - KING",Mattresses,,Active,Gracious Sleep,Gracious Sleep,,Thos Baker,
118462,GH253295,Gracious Sleep Heritage Box Spring - KING,Gracious Sleep Heritage Box Spring - KING,Mattresses,,Active,Gracious Sleep,Gracious Sleep,,Thos Baker,
118463,GH253297,"Gracious Sleep Heritage 12"" Plush Mattress - CAL King","Gracious Sleep Heritage 12"" Plush Mattress - CAL King",Mattresses,,Active,Gracious Sleep,Gracious Sleep,,Thos Baker,
118464,GH253298,Gracious Sleep Heritage Box Spring - Cal KING,Gracious Sleep Heritage Box Spring - Cal KING,Mattresses,,Active,Gracious Sleep,Gracious Sleep,,Thos Baker,
118471,GH253619,Motion Base G94 - Twin,Motion Base G94 - Twin,Bases,Adjustable,Active,Gracious Sleep,Gracious Sleep,,Thos Baker,
118472,GH253620,Motion Base G94 - Twin XL,Motion Base G94 - Twin XL,Bases,Adjustable,Active,Gracious Sleep,Gracious Sleep,,Thos Baker,
118473,GH253621,Motion Base G94 - Full,Motion Base G94 - Full,Bases,Adjustable,Active,Gracious Sleep,Gracious Sleep,,Thos Baker,
118474,GH253622,Motion Base G94 - Queen,Motion Base G94 - Queen,Bases,Adjustable,Active,Gracious Sleep,Gracious Sleep,,Thos Baker,
118475,GH253623,Motion Base G94 - Split CAL K,Motion Base G94 - Split CAL K,Bases,Adjustable,Active,Gracious Sleep,Gracious Sleep,,Thos Baker,
112634,GH255815,"18"" Pillow - 614 Rain Citrus - knife edge","18"" Pillow - 614 Rain Citrus - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112636,GH255816,"18"" Pillow - 06 Interactive Citrus - knife edge","18"" Pillow - 06 Interactive Citrus - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112635,GH255817,"18"" Pillow - 167 Forsythia Spring - knife edge","18"" Pillow - 167 Forsythia Spring - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112637,GH255818,"18"" Pillows - 398 Marais II Spring - knife edge","18"" Pillows - 398 Marais II Spring - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112639,GH255819,"18"" Pillow - 11 Highland Stripe Citrus Â - knife edge","18"" Pillow - 11 Highland Stripe Citrus Â - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
